id,date,customerId,productId,orderChannel,quantaty,unitPrice,discount,totalPrice
ORD000090,2025-12-10 03:52:06,CUS000074,PROD000009,Partner E,6,993.94,0.119,5253.97
ORD000091,2025-05-12 05:04:57,CUS000058,PROD000016,Messe,2,741.45,0.082,1361.3
ORD000092,2025-11-19 19:42:32,CUS000192,PROD000004,Messe,2,439.9,0.115,778.62
ORD000093,2025-02-14 14:22:19,CUS000030,PROD000003,Partner B,2,292.75,0.08,538.66
ORD000094,2025-07-05 08:10:46,CUS000157,PROD000016,Interner Vertrieb,10,741.45,0.087,6769.44
ORD000095,2025-11-09 14:33:44,CUS000010,PROD000012,Partner C,1,324.04,0.0,324.04
ORD000096,2025-10-31 18:15:35,CUS000039,PROD000011,Interner Vertrieb,5,231.87,0.125,1014.43
ORD000097,2025-07-25 17:02:03,CUS000055,PROD000005,Partner A,8,1086.81,0.026,8468.42
ORD000098,2025-05-18 20:20:49,CUS000028,PROD000018,Partner B,2,550.74,0.038,1059.62
ORD000099,2025-03-24 12:35:44,CUS000146,PROD000019,Partner D,5,1669.62,0.054,7897.3
ORD000100,2025-02-22 14:39:43,CUS000169,PROD000006,Partner C,8,619.05,0.0,4952.4
ORD000101,2025-06-30 11:39:34,CUS000118,PROD000018,Partner B,10,550.74,0.051,5226.52
ORD000102,2025-11-09 22:00:54,CUS000114,PROD000006,Partner C,5,619.05,0.047,2949.77
ORD000103,2025-08-26 13:16:45,CUS000075,PROD000004,Interner Vertrieb,2,439.9,0.061,826.13
ORD000104,2025-08-31 03:07:03,CUS000065,PROD000012,Onlineshop,3,324.04,0.0,972.12
ORD000105,2025-04-03 10:53:24,CUS000081,PROD000019,Partner F,6,1669.62,0.126,8755.49
ORD000106,2025-06-01 07:14:42,CUS000100,PROD000002,Partner A,11,498.02,0.1,4930.4
ORD000107,2025-09-24 11:04:11,CUS000100,PROD000017,Partner D,11,405.5,0.037,4295.46
ORD000108,2025-08-24 20:58:15,CUS000046,PROD000011,Partner C,5,231.87,0.051,1100.22
ORD000109,2025-03-05 20:13:09,CUS000060,PROD000011,Interner Vertrieb,11,231.87,0.122,2239.4
ORD000110,2025-08-07 17:41:46,CUS000137,PROD000016,Partner B,4,741.45,0.067,2767.09
ORD000111,2025-11-22 21:31:14,CUS000173,PROD000002,Messe,4,498.02,0.018,1956.22
ORD000112,2025-06-22 05:48:48,CUS000188,PROD000002,Interner Vertrieb,5,498.02,0.076,2300.85
ORD000113,2025-01-06 16:27:14,CUS000156,PROD000008,Partner C,2,292.42,0.026,569.63
ORD000114,2025-04-30 15:21:08,CUS000097,PROD000013,Messe,9,235.2,0.045,2021.54
ORD000115,2025-05-28 05:54:54,CUS000003,PROD000010,Partner B,2,616.11,0.077,1137.34
ORD000116,2025-04-25 16:41:49,CUS000179,PROD000008,Partner B,10,292.42,0.133,2535.28
ORD000117,2025-09-14 16:40:34,CUS000136,PROD000004,Messe,2,439.9,0.181,720.56
ORD000118,2025-05-28 18:22:56,CUS000114,PROD000015,Partner B,10,834.88,0.148,7113.18
ORD000119,2025-05-29 02:42:12,CUS000198,PROD000001,Partner D,9,1692.54,0.076,14075.16
ORD000120,2025-11-24 13:49:13,CUS000187,PROD000011,Onlineshop,3,231.87,0.193,561.36
ORD000121,2025-03-22 00:42:30,CUS000116,PROD000007,Onlineshop,10,202.03,0.108,1802.11
ORD000122,2025-09-23 13:28:30,CUS000189,PROD000017,Messe,7,405.5,0.031,2750.51
ORD000123,2025-10-29 15:47:25,CUS000058,PROD000020,Onlineshop,4,905.55,0.085,3314.31
ORD000124,2025-03-21 22:32:06,CUS000070,PROD000018,Partner D,6,550.74,0.047,3149.13
ORD000125,2025-03-10 03:46:34,CUS000093,PROD000012,Messe,4,324.04,0.018,1272.83
ORD000126,2025-12-20 07:58:00,CUS000140,PROD000009,Messe,10,993.94,0.021,9730.67
ORD000127,2025-10-09 15:49:34,CUS000137,PROD000005,Messe,7,1086.81,0.073,7052.31
ORD000128,2025-03-17 08:27:05,CUS000105,PROD000010,Onlineshop,1,616.11,0.118,543.41
ORD000129,2025-04-09 12:10:17,CUS000049,PROD000004,Partner A,3,439.9,0.133,1144.18
ORD000130,2025-04-02 07:02:19,CUS000083,PROD000005,Partner F,3,1086.81,0.018,3201.74
ORD000131,2025-11-11 14:42:20,CUS000017,PROD000010,Interner Vertrieb,1,616.11,0.065,576.06
ORD000132,2025-11-15 11:29:54,CUS000054,PROD000011,Partner B,6,231.87,0.104,1246.53
ORD000133,2025-01-09 21:46:38,CUS000112,PROD000010,Interner Vertrieb,11,616.11,0.088,6180.82
ORD000134,2025-09-13 10:35:11,CUS000172,PROD000008,Messe,9,292.42,0.115,2329.13
ORD000135,2025-06-28 20:28:22,CUS000160,PROD000002,Partner B,8,498.02,0.058,3753.08
ORD000136,2025-11-26 02:14:08,CUS000163,PROD000008,Partner F,11,292.42,0.144,2753.43
ORD000137,2025-04-03 06:16:19,CUS000049,PROD000016,Partner C,7,741.45,0.08,4774.94
ORD000138,2025-02-08 13:17:48,CUS000182,PROD000005,Interner Vertrieb,10,1086.81,0.118,9585.66
ORD000139,2025-02-07 16:33:35,CUS000144,PROD000003,Partner C,8,292.75,0.061,2199.14
ORD000140,2025-01-11 02:52:51,CUS000085,PROD000012,Partner D,6,324.04,0.083,1782.87
ORD000141,2025-03-07 10:37:17,CUS000012,PROD000013,Messe,9,235.2,0.0,2116.8
ORD000142,2025-11-21 01:24:52,CUS000126,PROD000013,Interner Vertrieb,3,235.2,0.038,678.79
ORD000143,2025-12-20 04:16:22,CUS000098,PROD000010,Partner B,10,616.11,0.07,5729.82
ORD000144,2025-05-22 22:00:06,CUS000136,PROD000004,Partner E,10,439.9,0.085,4025.08
ORD000145,2025-07-25 10:46:04,CUS000149,PROD000009,Interner Vertrieb,9,993.94,0.214,7031.13
ORD000146,2025-02-08 16:53:34,CUS000048,PROD000002,Partner A,4,498.02,0.061,1870.56
ORD000147,2025-10-03 22:46:02,CUS000136,PROD000019,Partner A,7,1669.62,0.011,11558.78
ORD000148,2025-04-22 03:14:43,CUS000028,PROD000001,Partner D,9,1692.54,0.165,12719.44
ORD000149,2025-09-24 03:03:40,CUS000080,PROD000007,Partner B,2,202.03,0.134,349.92
ORD000150,2025-11-28 10:31:59,CUS000010,PROD000017,Partner D,2,405.5,0.022,793.16
ORD000151,2025-09-12 06:59:18,CUS000052,PROD000003,Messe,9,292.75,0.103,2363.37
ORD000152,2025-02-04 05:57:14,CUS000143,PROD000020,Onlineshop,3,905.55,0.122,2385.22
ORD000153,2025-12-29 03:16:02,CUS000132,PROD000020,Partner B,9,905.55,0.088,7432.75
ORD000154,2025-09-05 02:58:29,CUS000090,PROD000003,Partner C,5,292.75,0.096,1323.23
ORD000155,2025-09-29 19:23:07,CUS000062,PROD000003,Partner A,6,292.75,0.048,1672.19
ORD000156,2025-01-01 12:06:25,CUS000107,PROD000017,Interner Vertrieb,2,405.5,0.105,725.84
ORD000157,2025-12-23 06:01:13,CUS000132,PROD000007,Partner B,8,202.03,0.055,1527.35
ORD000158,2025-06-20 15:35:08,CUS000041,PROD000014,Partner B,11,292.78,0.0,3220.58
ORD000159,2025-11-23 15:43:57,CUS000099,PROD000017,Partner C,9,405.5,0.09,3321.04
ORD000160,2025-01-30 09:24:08,CUS000055,PROD000018,Messe,2,550.74,0.0,1101.48
ORD000161,2025-07-15 10:46:12,CUS000028,PROD000013,Messe,6,235.2,0.131,1226.33
ORD000162,2025-08-01 09:59:33,CUS000101,PROD000020,Interner Vertrieb,6,905.55,0.023,5308.33
ORD000163,2025-06-19 11:46:35,CUS000047,PROD000020,Partner D,8,905.55,0.0,7244.4
ORD000164,2025-12-04 21:14:03,CUS000137,PROD000018,Interner Vertrieb,10,550.74,0.0,5507.4
ORD000165,2025-12-09 03:12:43,CUS000130,PROD000004,Partner D,5,439.9,0.078,2027.94
ORD000166,2025-05-02 15:54:59,CUS000195,PROD000001,Interner Vertrieb,9,1692.54,0.089,13877.14
ORD000167,2025-04-07 03:21:01,CUS000117,PROD000018,Messe,1,550.74,0.009,545.78
ORD000168,2025-01-24 06:03:41,CUS000108,PROD000001,Messe,9,1692.54,0.026,14836.81
ORD000169,2025-01-14 21:44:42,CUS000176,PROD000013,Interner Vertrieb,10,235.2,0.08,2163.84
ORD000170,2025-07-20 10:59:11,CUS000069,PROD000020,Onlineshop,7,905.55,0.129,5521.14
ORD000171,2025-05-17 20:03:05,CUS000028,PROD000020,Partner D,4,905.55,0.019,3553.38
ORD000172,2025-09-01 14:28:06,CUS000079,PROD000010,Partner C,3,616.11,0.099,1665.35
ORD000173,2025-09-29 17:33:15,CUS000014,PROD000011,Partner D,10,231.87,0.0,2318.7
ORD000174,2025-08-24 09:28:56,CUS000046,PROD000009,Partner D,11,993.94,0.096,9883.74
ORD000175,2025-10-01 13:53:42,CUS000141,PROD000009,Messe,6,993.94,0.118,5259.93
ORD000176,2025-01-29 18:06:53,CUS000016,PROD000005,Onlineshop,1,1086.81,0.106,971.61
ORD000177,2025-02-03 15:36:00,CUS000168,PROD000001,Partner C,3,1692.54,0.13,4417.53
ORD000178,2025-11-20 11:26:56,CUS000200,PROD000017,Messe,2,405.5,0.126,708.81
ORD000179,2025-03-10 05:39:04,CUS000158,PROD000002,Messe,11,498.02,0.172,4535.97
ORD000180,2025-12-18 05:01:14,CUS000081,PROD000013,Partner B,9,235.2,0.085,1936.87
ORD000181,2025-09-18 02:58:05,CUS000193,PROD000009,Interner Vertrieb,3,993.94,0.172,2468.95
ORD000182,2025-01-26 20:50:00,CUS000058,PROD000004,Onlineshop,2,439.9,0.033,850.77
ORD000183,2025-10-02 03:22:27,CUS000048,PROD000005,Messe,4,1086.81,0.07,4042.93
ORD000184,2025-02-20 00:37:32,CUS000049,PROD000011,Interner Vertrieb,2,231.87,0.074,429.42
ORD000185,2025-03-09 09:16:24,CUS000089,PROD000019,Partner C,1,1669.62,0.028,1622.87
ORD000186,2025-01-05 15:51:30,CUS000130,PROD000003,Interner Vertrieb,6,292.75,0.0,1756.5
ORD000187,2025-12-12 14:12:54,CUS000014,PROD000012,Onlineshop,10,324.04,0.123,2841.83
ORD000188,2025-01-30 11:53:41,CUS000103,PROD000019,Messe,8,1669.62,0.034,12902.82
ORD000189,2025-05-26 21:21:11,CUS000121,PROD000019,Partner C,10,1669.62,0.06,15694.43
ORD000190,2025-05-22 03:33:46,CUS000145,PROD000013,Partner C,10,235.2,0.159,1978.03
ORD000191,2025-06-16 10:55:04,CUS000123,PROD000007,Messe,2,202.03,0.109,360.02
ORD000192,2025-01-23 14:48:29,CUS000159,PROD000015,Partner A,9,834.88,0.167,6259.1
ORD000193,2025-06-16 22:01:08,CUS000138,PROD000007,Messe,3,202.03,0.086,553.97
ORD000194,2025-09-03 08:54:56,CUS000070,PROD000008,Partner B,8,292.42,0.108,2086.71
ORD000195,2025-05-14 02:49:22,CUS000103,PROD000005,Partner C,8,1086.81,0.068,8103.26
ORD000196,2025-07-08 06:27:53,CUS000102,PROD000014,Partner C,3,292.78,0.038,844.96
ORD000197,2025-03-25 09:32:27,CUS000165,PROD000004,Partner D,3,439.9,0.108,1177.17
ORD000198,2025-04-07 08:08:55,CUS000064,PROD000010,Messe,6,616.11,0.058,3482.25
ORD000199,2025-09-26 22:01:50,CUS000158,PROD000020,Messe,1,905.55,0.112,804.13
ORD000200,2025-07-30 04:51:06,CUS000162,PROD000015,Messe,4,834.88,0.051,3169.2
ORD000201,2025-05-24 16:25:25,CUS000018,PROD000018,Partner A,1,550.74,0.071,511.64
ORD000202,2025-01-01 16:58:07,CUS000063,PROD000020,Partner B,3,905.55,0.075,2512.9
ORD000203,2025-06-07 08:44:15,CUS000049,PROD000013,Partner C,9,235.2,0.134,1833.15
ORD000204,2025-06-19 17:39:35,CUS000056,PROD000008,Messe,5,292.42,0.059,1375.84
ORD000205,2025-09-26 08:52:03,CUS000091,PROD000009,Partner C,5,993.94,0.139,4278.91
ORD000206,2025-07-31 11:56:32,CUS000058,PROD000016,Messe,11,741.45,0.035,7870.49
ORD000207,2025-04-29 22:03:41,CUS000155,PROD000019,Messe,4,1669.62,0.093,6057.38
ORD000208,2025-05-31 17:25:04,CUS000055,PROD000016,Partner D,3,741.45,0.046,2122.03
ORD000209,2025-07-14 15:16:09,CUS000085,PROD000007,Messe,5,202.03,0.136,872.77
ORD000210,2025-03-17 01:15:31,CUS000019,PROD000014,Messe,11,292.78,0.039,3094.98
ORD000211,2025-08-22 01:40:27,CUS000151,PROD000014,Messe,4,292.78,0.044,1119.59
ORD000212,2025-03-30 14:21:49,CUS000103,PROD000004,Partner D,8,439.9,0.017,3459.37
ORD000213,2025-02-19 07:13:42,CUS000112,PROD000015,Messe,4,834.88,0.085,3055.66
ORD000214,2025-09-09 14:00:33,CUS000108,PROD000003,Interner Vertrieb,11,292.75,0.11,2866.02
ORD000215,2025-03-08 06:26:10,CUS000047,PROD000005,Partner D,8,1086.81,0.104,7790.25
ORD000216,2025-07-19 00:08:16,CUS000107,PROD000001,Partner A,6,1692.54,0.073,9413.91
ORD000217,2025-06-28 11:37:20,CUS000194,PROD000003,Interner Vertrieb,11,292.75,0.047,3068.9
ORD000218,2025-10-04 00:58:31,CUS000179,PROD000015,Messe,5,834.88,0.066,3898.89
ORD000219,2025-10-08 05:08:32,CUS000084,PROD000008,Partner D,4,292.42,0.068,1090.14
ORD000220,2025-02-27 11:10:50,CUS000156,PROD000004,Partner B,4,439.9,0.093,1595.96
ORD000221,2025-01-10 09:52:48,CUS000128,PROD000002,Partner B,4,498.02,0.089,1814.78
ORD000222,2025-01-03 14:34:41,CUS000185,PROD000010,Messe,11,616.11,0.167,5645.42
ORD000223,2025-05-14 04:11:45,CUS000058,PROD000004,Messe,9,439.9,0.082,3634.45
ORD000224,2025-08-26 23:08:11,CUS000143,PROD000003,Interner Vertrieb,4,292.75,0.098,1056.24
ORD000225,2025-08-17 20:29:41,CUS000144,PROD000002,Messe,9,498.02,0.084,4105.68
ORD000226,2025-03-31 12:21:42,CUS000097,PROD000017,Partner B,10,405.5,0.064,3795.48
ORD000227,2025-09-16 22:32:04,CUS000047,PROD000020,Partner E,6,905.55,0.098,4900.84
ORD000228,2025-03-07 16:18:39,CUS000191,PROD000013,Partner F,10,235.2,0.059,2213.23
ORD000229,2025-04-11 05:02:24,CUS000140,PROD000005,Messe,7,1086.81,0.077,7021.88
ORD000230,2025-03-18 11:54:40,CUS000103,PROD000009,Messe,10,993.94,0.138,8567.76
ORD000231,2025-09-15 20:12:02,CUS000171,PROD000006,Partner B,3,619.05,0.056,1753.15
ORD000232,2025-02-20 14:28:13,CUS000084,PROD000005,Partner D,8,1086.81,0.099,7833.73
ORD000233,2025-08-01 06:09:05,CUS000157,PROD000010,Partner B,3,616.11,0.0,1848.33
ORD000234,2025-09-10 10:00:11,CUS000049,PROD000008,Partner C,1,292.42,0.071,271.66
ORD000235,2025-05-03 19:36:57,CUS000131,PROD000007,Partner C,10,202.03,0.055,1909.18
ORD000236,2025-03-05 09:40:47,CUS000112,PROD000007,Partner B,5,202.03,0.086,923.28
ORD000237,2025-10-27 03:51:33,CUS000197,PROD000006,Partner C,2,619.05,0.068,1153.91
ORD000238,2025-12-03 00:04:06,CUS000060,PROD000020,Partner A,10,905.55,0.087,8267.67
ORD000239,2025-01-13 22:50:43,CUS000066,PROD000003,Partner D,6,292.75,0.061,1649.35
ORD000240,2025-05-16 15:01:10,CUS000087,PROD000019,Onlineshop,10,1669.62,0.099,15043.28
ORD000241,2025-07-09 06:03:54,CUS000126,PROD000015,Partner C,9,834.88,0.0,7513.92
ORD000242,2025-05-03 15:11:51,CUS000026,PROD000004,Messe,1,439.9,0.086,402.07
ORD000243,2025-06-12 04:22:18,CUS000071,PROD000012,Interner Vertrieb,4,324.04,0.033,1253.39
ORD000244,2025-03-24 05:07:10,CUS000074,PROD000006,Partner C,1,619.05,0.138,533.62
ORD000245,2025-11-08 10:08:37,CUS000197,PROD000019,Partner C,1,1669.62,0.032,1616.19
ORD000246,2025-01-30 14:37:11,CUS000047,PROD000004,Interner Vertrieb,8,439.9,0.13,3061.7
ORD000247,2025-03-19 01:58:28,CUS000076,PROD000015,Partner A,11,834.88,0.079,8458.17
ORD000248,2025-12-30 04:11:31,CUS000096,PROD000009,Messe,2,993.94,0.0,1987.88
ORD000249,2025-12-08 01:03:29,CUS000170,PROD000005,Partner C,1,1086.81,0.036,1047.68
ORD000250,2025-02-05 15:39:49,CUS000031,PROD000013,Partner C,11,235.2,0.122,2271.56
ORD000251,2025-01-20 05:38:29,CUS000022,PROD000018,Partner C,8,550.74,0.12,3877.21
ORD000252,2025-08-13 22:09:14,CUS000017,PROD000005,Messe,4,1086.81,0.015,4282.03
ORD000253,2025-07-15 10:54:54,CUS000148,PROD000016,Partner B,3,741.45,0.158,1872.9
ORD000254,2025-08-05 08:27:27,CUS000136,PROD000019,Messe,4,1669.62,0.079,6150.88
ORD000255,2025-03-15 01:55:27,CUS000098,PROD000014,Partner B,11,292.78,0.124,2821.23
ORD000256,2025-12-23 19:05:04,CUS000049,PROD000016,Partner C,5,741.45,0.019,3636.81
ORD000257,2025-04-24 08:11:52,CUS000087,PROD000015,Partner A,1,834.88,0.057,787.29
ORD000258,2025-01-24 05:49:47,CUS000038,PROD000004,Messe,11,439.9,0.101,4350.17
ORD000259,2025-01-20 04:51:06,CUS000053,PROD000007,Onlineshop,1,202.03,0.064,189.1
ORD000260,2025-12-06 13:42:29,CUS000028,PROD000016,Partner C,3,741.45,0.0,2224.35
ORD000261,2025-01-25 20:53:35,CUS000077,PROD000008,Interner Vertrieb,6,292.42,0.07,1631.7
ORD000262,2025-03-27 03:15:40,CUS000157,PROD000017,Partner C,1,405.5,0.0,405.5
ORD000263,2025-12-04 20:18:10,CUS000200,PROD000016,Partner B,11,741.45,0.026,7943.9
ORD000264,2025-09-04 08:04:35,CUS000139,PROD000010,Partner C,2,616.11,0.01,1219.9
ORD000265,2025-10-08 16:25:31,CUS000175,PROD000010,Messe,7,616.11,0.137,3721.92
ORD000266,2025-10-10 19:40:42,CUS000173,PROD000002,Onlineshop,1,498.02,0.152,422.32
ORD000267,2025-03-16 02:53:23,CUS000018,PROD000009,Partner B,7,993.94,0.097,6282.69
ORD000268,2025-02-17 20:41:54,CUS000050,PROD000017,Messe,4,405.5,0.068,1511.7
ORD000269,2025-01-11 12:58:01,CUS000089,PROD000011,Messe,10,231.87,0.081,2130.89
ORD000270,2025-08-01 18:53:54,CUS000177,PROD000010,Partner C,6,616.11,0.137,3190.22
