id,productId,charge,date,shouldRatePerMinute,currentRatePerMinute
TEST000047,PROD000010,CHARGE000047,2025-06-16 14:24:56,1.0,0.9980741689328207
TEST000048,PROD000018,CHARGE000048,2025-09-25 21:52:09,10.0,10.04773021736849
TEST000049,PROD000005,CHARGE000049,2025-04-26 15:49:49,1.0,1.0043115634847848
TEST000050,PROD000018,CHARGE000050,2025-06-02 06:39:47,10.0,10.04773021736849
TEST000051,PROD000017,CHARGE000051,2025-12-02 08:22:44,1.0,0.9968975355662444
TEST000052,PROD000004,CHARGE000052,2025-10-21 07:19:18,0.5,0.5027569204273111
TEST000053,PROD000009,CHARGE000053,2025-10-31 05:37:30,10.0,10.047797383963367
TEST000054,PROD000020,CHARGE000054,2025-03-25 11:47:16,1.0,1.0004620273359321
TEST000055,PROD000002,CHARGE000055,2025-04-24 03:48:39,10.0,10.014793392436305
TEST000056,PROD000007,CHARGE000056,2025-09-26 18:05:13,0.5,0.4969632025310809
TEST000057,PROD000019,CHARGE000057,2025-04-05 07:35:28,1.0,1.003892418277343
TEST000058,PROD000019,CHARGE000058,2025-03-08 08:57:03,1.0,1.003892418277343
TEST000059,PROD000015,CHARGE000059,2025-04-29 13:28:41,0.5,0.4962233524644983
TEST000060,PROD000003,CHARGE000060,2025-09-05 10:45:13,1.0,0.998109347037581
TEST000061,PROD000004,CHARGE000061,2025-08-26 21:15:36,0.5,0.5027569204273111
TEST000062,PROD000012,CHARGE000062,2025-09-01 09:09:43,0.5,0.4984932348822342
TEST000063,PROD000005,CHARGE000063,2025-11-08 22:28:31,1.0,1.0043115634847848
TEST000064,PROD000007,CHARGE000064,2025-12-13 19:17:43,0.5,0.4969632025310809
TEST000065,PROD000013,CHARGE000065,2025-09-09 11:02:01,1.0,0.9983072806753286
TEST000066,PROD000013,CHARGE000066,2025-03-13 18:13:48,1.0,0.9983072806753286
TEST000067,PROD000002,CHARGE000067,2025-10-12 14:20:04,10.0,10.014793392436305
TEST000068,PROD000006,CHARGE000068,2025-08-08 02:06:17,10.0,9.951947671223916
TEST000069,PROD000004,CHARGE000069,2025-09-28 03:17:00,0.5,0.5027569204273111
TEST000070,PROD000005,CHARGE000070,2025-05-10 00:35:16,1.0,1.4343115634847848
TEST000071,PROD000010,CHARGE000071,2025-07-01 15:44:03,1.0,0.9980741689328207
TEST000072,PROD000008,CHARGE000072,2025-07-18 10:08:48,1.0,0.9970952211479145
TEST000073,PROD000010,CHARGE000073,2025-03-24 08:11:08,1.0,0.9980741689328207
TEST000074,PROD000005,CHARGE000074,2025-06-28 00:35:19,1.0,1.0043115634847848
TEST000075,PROD000002,CHARGE000075,2025-06-18 15:07:51,10.0,10.014793392436305
TEST000076,PROD000005,CHARGE000076,2025-08-31 16:26:50,1.0,1.0043115634847848
TEST000077,PROD000017,CHARGE000077,2025-03-18 04:30:27,1.0,0.9968975355662444
TEST000078,PROD000001,CHARGE000078,2025-06-11 03:00:13,10.0,10.020503403520998
TEST000079,PROD000020,CHARGE000079,2025-12-18 08:10:39,1.0,1.0004620273359321
TEST000080,PROD000018,CHARGE000080,2025-09-24 04:48:50,10.0,10.04773021736849
TEST000081,PROD000003,CHARGE000081,2025-08-22 21:22:20,1.0,0.998109347037581
TEST000082,PROD000011,CHARGE000082,2025-03-16 14:53:30,1.0,1.0025874750813948
TEST000083,PROD000009,CHARGE000083,2025-04-27 09:23:03,10.0,10.047797383963367
TEST000084,PROD000006,CHARGE000084,2025-08-17 01:52:47,10.0,9.951947671223916
TEST000085,PROD000002,CHARGE000085,2025-03-07 23:26:49,10.0,10.014793392436305
TEST000086,PROD000005,CHARGE000086,2025-08-21 19:10:30,1.0,1.0043115634847848
TEST000087,PROD000012,CHARGE000087,2025-02-06 20:47:58,0.5,0.4984932348822342
TEST000088,PROD000018,CHARGE000088,2025-01-18 21:22:32,10.0,10.04773021736849
TEST000089,PROD000008,CHARGE000089,2025-11-21 13:55:30,1.0,0.9970952211479145
TEST000090,PROD000005,CHARGE000090,2025-12-13 19:38:11,1.0,1.0043115634847848
TEST000091,PROD000012,CHARGE000091,2025-03-25 12:21:01,0.5,0.4984932348822342
TEST000092,PROD000008,CHARGE000092,2025-11-18 18:09:28,1.0,0.9970952211479145
TEST000093,PROD000009,CHARGE000093,2025-11-18 13:45:19,10.0,10.047797383963367
TEST000094,PROD000001,CHARGE000094,2025-02-13 21:17:20,10.0,10.020503403520998
TEST000095,PROD000013,CHARGE000095,2025-09-14 06:37:00,1.0,0.9983072806753286
TEST000096,PROD000001,CHARGE000096,2025-09-21 10:46:51,10.0,10.020503403520998
TEST000097,PROD000020,CHARGE000097,2025-09-22 01:32:15,1.0,1.0004620273359321
TEST000098,PROD000003,CHARGE000098,2025-05-19 22:33:16,1.0,0.998109347037581
TEST000099,PROD000011,CHARGE000099,2025-10-31 18:55:54,1.0,1.0025874750813948
TEST000100,PROD000012,CHARGE000100,2025-08-26 04:03:57,0.5,0.4984932348822342
TEST000101,PROD000009,CHARGE000101,2025-02-16 00:06:08,10.0,10.047797383963367
TEST000102,PROD000009,CHARGE000102,2025-09-23 06:51:08,10.0,10.047797383963367
TEST000103,PROD000009,CHARGE000103,2025-06-21 22:22:52,10.0,10.047797383963367
TEST000104,PROD000013,CHARGE000104,2025-08-02 08:10:49,1.0,0.9983072806753286
TEST000105,PROD000015,CHARGE000105,2025-05-06 07:17:39,0.5,0.4962233524644983
TEST000106,PROD000010,CHARGE000106,2025-12-20 12:58:07,1.0,0.9980741689328207
TEST000107,PROD000017,CHARGE000107,2025-12-13 04:04:43,1.0,0.9968975355662444
TEST000108,PROD000010,CHARGE000108,2025-03-18 10:27:06,1.0,0.9980741689328207
TEST000109,PROD000010,CHARGE000109,2025-08-28 16:31:07,1.0,0.9980741689328207
TEST000110,PROD000008,CHARGE000110,2025-02-21 00:54:13,1.0,0.9970952211479145
TEST000111,PROD000006,CHARGE000111,2025-12-08 12:30:00,10.0,9.951947671223916
TEST000112,PROD000015,CHARGE000112,2025-02-12 13:34:31,0.5,0.4962233524644983
TEST000113,PROD000015,CHARGE000113,2025-11-22 00:22:15,0.5,0.4962233524644983
TEST000114,PROD000018,CHARGE000114,2025-03-26 14:42:26,10.0,10.04773021736849
TEST000115,PROD000014,CHARGE000115,2025-05-28 07:17:04,10.0,9.958878530602599
TEST000116,PROD000003,CHARGE000116,2025-09-29 19:30:02,1.0,0.998109347037581
TEST000117,PROD000014,CHARGE000117,2025-08-25 10:41:34,10.0,9.958878530602599
TEST000118,PROD000011,CHARGE000118,2025-02-17 01:26:42,1.0,1.0025874750813948
TEST000119,PROD000002,CHARGE000119,2025-09-23 04:15:05,10.0,10.014793392436305
TEST000120,PROD000011,CHARGE000120,2025-06-21 10:46:46,1.0,1.0025874750813948
TEST000121,PROD000015,CHARGE000121,2025-12-10 21:06:48,0.5,0.4962233524644983
TEST000122,PROD000006,CHARGE000122,2025-08-27 02:32:33,10.0,9.951947671223916
TEST000123,PROD000011,CHARGE000123,2025-01-20 22:33:12,1.0,1.0025874750813948
TEST000124,PROD000009,CHARGE000124,2025-06-26 00:32:56,10.0,10.047797383963367
TEST000125,PROD000001,CHARGE000125,2025-01-08 16:38:17,10.0,10.020503403520998
TEST000126,PROD000001,CHARGE000126,2025-02-23 01:36:55,10.0,10.020503403520998
TEST000127,PROD000003,CHARGE000127,2025-01-12 22:33:01,1.0,0.998109347037581
TEST000128,PROD000017,CHARGE000128,2025-01-18 18:05:19,1.0,0.9968975355662444
TEST000129,PROD000004,CHARGE000129,2025-05-29 18:44:00,0.5,0.5027569204273111
TEST000130,PROD000019,CHARGE000130,2025-03-14 16:00:33,1.0,1.003892418277343
TEST000131,PROD000011,CHARGE000131,2025-07-03 00:04:36,1.0,1.0025874750813948
TEST000132,PROD000019,CHARGE000132,2025-06-08 17:14:54,1.0,1.003892418277343
TEST000133,PROD000005,CHARGE000133,2025-07-02 02:59:41,1.0,1.0043115634847848
TEST000134,PROD000013,CHARGE000134,2025-12-12 00:11:33,1.0,0.9983072806753286
TEST000135,PROD000018,CHARGE000135,2025-01-13 12:47:35,10.0,10.04773021736849
TEST000136,PROD000015,CHARGE000136,2025-04-11 15:33:05,0.5,0.4962233524644983
TEST000137,PROD000003,CHARGE000137,2025-03-06 09:03:03,1.0,0.998109347037581
TEST000138,PROD000001,CHARGE000138,2025-07-08 00:51:30,10.0,10.020503403520998
TEST000139,PROD000012,CHARGE000139,2025-07-10 10:36:13,0.5,0.4984932348822342
TEST000140,PROD000019,CHARGE000140,2025-09-22 13:57:44,1.0,1.003892418277343
TEST000141,PROD000008,CHARGE000141,2025-09-17 21:00:37,1.0,0.9970952211479145
TEST000142,PROD000019,CHARGE000142,2025-05-31 09:38:10,1.0,1.003892418277343
TEST000143,PROD000001,CHARGE000143,2025-02-13 12:23:11,10.0,10.020503403520998
TEST000144,PROD000001,CHARGE000144,2025-11-11 14:26:26,10.0,10.020503403520998
TEST000145,PROD000013,CHARGE000145,2025-12-04 23:27:36,1.0,0.9983072806753286
TEST000146,PROD000019,CHARGE000146,2025-02-11 10:07:12,1.0,1.003892418277343
TEST000147,PROD000002,CHARGE000147,2025-07-19 22:02:37,10.0,10.014793392436305
TEST000148,PROD000011,CHARGE000148,2025-03-15 08:52:21,1.0,1.0025874750813948
TEST000149,PROD000003,CHARGE000149,2025-06-19 12:19:02,1.0,0.998109347037581
TEST000150,PROD000010,CHARGE000150,2025-10-16 11:52:08,1.0,0.9980741689328207
TEST000151,PROD000002,CHARGE000151,2025-03-29 12:48:55,10.0,10.014793392436305
TEST000152,PROD000017,CHARGE000152,2025-12-11 10:04:08,1.0,0.9968975355662444
TEST000153,PROD000011,CHARGE000153,2025-01-21 01:56:07,1.0,1.0025874750813948
TEST000154,PROD000005,CHARGE000154,2025-01-17 16:44:03,1.0,1.0043115634847848
TEST000155,PROD000004,CHARGE000155,2025-06-16 13:32:40,0.5,0.5027569204273111
TEST000156,PROD000017,CHARGE000156,2025-04-17 05:40:30,1.0,0.9968975355662444
TEST000157,PROD000003,CHARGE000157,2025-06-27 10:34:56,1.0,0.998109347037581
TEST000158,PROD000005,CHARGE000158,2025-05-05 08:06:20,1.0,1.0043115634847848
TEST000159,PROD000007,CHARGE000159,2025-10-23 10:14:31,0.5,0.4969632025310809
TEST000160,PROD000017,CHARGE000160,2025-11-10 15:43:36,1.0,0.9968975355662444
TEST000161,PROD000009,CHARGE000161,2025-04-28 16:28:20,10.0,10.047797383963367
TEST000162,PROD000007,CHARGE000162,2025-09-06 18:59:11,0.5,0.4969632025310809
TEST000163,PROD000003,CHARGE000163,2025-10-04 23:54:05,1.0,0.998109347037581
TEST000164,PROD000005,CHARGE000164,2025-01-27 06:36:38,1.0,1.0043115634847848
TEST000165,PROD000002,CHARGE000165,2025-10-18 11:17:24,10.0,10.014793392436305
TEST000166,PROD000020,CHARGE000166,2025-12-09 20:37:04,1.0,1.0004620273359321
TEST000167,PROD000019,CHARGE000167,2025-08-24 21:46:35,1.0,1.003892418277343
TEST000168,PROD000016,CHARGE000168,2025-12-09 11:06:11,0.5,0.5023559526881884
TEST000169,PROD000007,CHARGE000169,2025-06-02 20:33:49,0.5,0.4969632025310809
TEST000170,PROD000008,CHARGE000170,2025-06-04 12:30:04,1.0,0.9970952211479145
TEST000171,PROD000002,CHARGE000171,2025-03-25 23:56:58,10.0,10.014793392436305
TEST000172,PROD000002,CHARGE000172,2025-07-08 13:35:09,10.0,10.014793392436305
TEST000173,PROD000015,CHARGE000173,2025-12-11 03:18:40,0.5,0.4962233524644983
TEST000174,PROD000006,CHARGE000174,2025-01-07 16:33:12,10.0,9.951947671223916
TEST000175,PROD000004,CHARGE000175,2025-10-21 03:46:06,0.5,0.5027569204273111
TEST000176,PROD000014,CHARGE000176,2025-01-15 07:37:34,10.0,9.958878530602599
TEST000177,PROD000007,CHARGE000177,2025-04-20 16:53:17,0.5,0.4969632025310809
TEST000178,PROD000014,CHARGE000178,2025-12-12 20:47:50,10.0,9.958878530602599
TEST000179,PROD000019,CHARGE000179,2025-08-12 02:30:47,1.0,1.003892418277343
TEST000180,PROD000007,CHARGE000180,2025-06-13 03:29:10,0.5,0.4969632025310809
TEST000181,PROD000014,CHARGE000181,2025-01-04 14:52:13,10.0,9.958878530602599
TEST000182,PROD000010,CHARGE000182,2025-01-01 15:50:59,1.0,0.9980741689328207
TEST000183,PROD000003,CHARGE000183,2025-11-15 13:34:24,1.0,0.998109347037581
TEST000184,PROD000013,CHARGE000184,2025-05-17 21:55:59,1.0,0.9983072806753286
TEST000185,PROD000010,CHARGE000185,2025-01-15 12:45:05,1.0,0.9980741689328207
TEST000186,PROD000005,CHARGE000186,2025-09-28 10:46:54,1.0,1.0043115634847848
TEST000187,PROD000011,CHARGE000187,2025-04-11 19:01:57,1.0,1.0025874750813948
TEST000188,PROD000004,CHARGE000188,2025-04-02 01:09:34,0.5,0.5027569204273111
TEST000189,PROD000016,CHARGE000189,2025-06-01 13:18:33,0.5,0.5023559526881884
TEST000190,PROD000004,CHARGE000190,2025-11-29 03:33:46,0.5,0.5027569204273111
TEST000191,PROD000009,CHARGE000191,2025-09-18 23:31:03,10.0,10.047797383963367
TEST000192,PROD000006,CHARGE000192,2025-05-21 18:05:33,10.0,9.951947671223916
TEST000193,PROD000005,CHARGE000193,2025-02-28 12:51:29,1.0,1.0043115634847848
TEST000194,PROD000013,CHARGE000194,2025-07-24 02:15:28,1.0,0.9983072806753286
TEST000195,PROD000011,CHARGE000195,2025-01-04 07:09:17,1.0,1.0025874750813948
TEST000196,PROD000007,CHARGE000196,2025-05-02 05:01:16,0.5,0.4969632025310809
TEST000197,PROD000014,CHARGE000197,2025-02-15 17:39:05,10.0,9.958878530602599
TEST000198,PROD000015,CHARGE000198,2025-03-11 05:35:07,0.5,0.4962233524644983
TEST000199,PROD000001,CHARGE000199,2025-05-24 05:32:59,10.0,10.020503403520998
TEST000200,PROD000007,CHARGE000200,2025-12-24 16:56:34,0.5,0.4969632025310809
